nombre,apellido,cargo,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,foto_url,wikidata_id,fuente_url,fuente_nombre
Jorge,Taiana,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/23083626739_20251127155233000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Rodolfo,Tailhade,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20213862996_20200206125321_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Caren,Tepp,diputado,Santa Fe,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27327025533_20251126153919000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Paulo Agustín,Tita,diputado,Tierra del Fuego,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20250816031_20251202135647000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Pablo,Todero,diputado,Neuquen,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20225253324_20231128101514000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Victoria,Tolosa Paz,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27234850666_20231212100552000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Yamile,Tomassoni,diputado,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27267199049_20251211120125000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Alejandra,Torres,diputado,Cordoba,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27142911502_20231206151657000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Rubén Darío,Torres,diputado,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20255454995_20251201151659000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Aníbal,Tortoriello,diputado,Rio Negro,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20129790351_20240202135114000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
José Federico,Tournier,diputado,Corrientes,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2024-08-14,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20244166246_20240814152633000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
César,Treffinger,diputado,Chubut,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20242671652_20231206151800000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Nicolás Alfredo,Trotta,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20249577163_20251126094055000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Hernán,Urien,diputado,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20341556253_20251126154824000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Eduardo Félix,Valdés,diputado,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20116408997_20231205095438000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Daniel,Vancsik,diputado,Misiones,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20245096152_20231128095424000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Patricia,Vásquez,diputado,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27120466483_20231128103226000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Yolanda,Vega,diputado,Salta,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27182307349_20231128103453000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
M. Elena,Velázquez,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27204775708_20251127075732000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Andrea Fernanda,Vera,diputado,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27386299175_20251126155353000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Pamela Fernanda,Verasay,diputado,Mendoza,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27281591954_20251211094515000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Lorena,Villaverde,diputado,Rio Negro,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/23238322464_20231128105805000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Gino,Visconti,diputado,La Rioja,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20379994580_20251127080438000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Luana,Volnovich,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27188873559_20231205095034000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Hugo,Yasky,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/23082070699_20200206125341_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Pablo Raúl,Yedlin,diputado,Tucuman,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20176149923_20231128100642000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Martín,Yeza,diputado,Buenos Aires,PRO,PRO,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20319778110_20231128103139000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Oscar,Zago,diputado,Ciudad de Buenos Aires,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/23165838009_20231129153517000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Carlos Raúl,Zapata,diputado,Salta,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20127901628_20251127080650000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Natalia,Zaracho,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27354613285_20251021154732000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
María Inés,Zigarán,diputado,Jujuy,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27213201617_20251127081237000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Christian Alejandro,Zulli,diputado,Corrientes,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/23332030159_20231130155355000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Maximiliano,Abad,senador,Buenos Aires,UCR - UNIÓN CÍVICA RADICAL,Juntos Por El Cambio,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/546.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Bartolomé Esteban,Abdala,senador,San Luis,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/564.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Romina María,Almeida,senador,Entre Ríos,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/583.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Carmen,Alvarez Rivero,senador,Córdoba,LA LIBERTAD AVANZA,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/522.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Guillermo Eduardo,Andrada,senador,Catamarca,CONVICCIÓN FEDERAL,Frente de Todos,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/519.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Carlos Omar,Arce,senador,Misiones,ENCUENTRO MISIONERO,Frente Renovador de la Concordia-innovación Federal,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/558.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Ivanna Marcela,Arrascaeta,senador,San Luis,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/565.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Ezequiel,Atauche,senador,Jujuy,LA LIBERTAD AVANZA,Partido Renovador Federal,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/552.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Beatriz Luisa,Avila,senador,Tucumán,INDEPENDENCIA,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/541.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Adán Humberto,Bahl,senador,Entre Ríos,JUSTICIALISTA,Fuerza Entre Ríos,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/584.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Vilma Facunda,Bedia,senador,Jujuy,LA LIBERTAD AVANZA,Partido Renovador Federal,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/553.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Joaquín Alberto,Benegas Lynch,senador,Entre Ríos,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/582.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Daniel Pablo,Bensusán,senador,La Pampa,JUSTICIALISTA,Frente de Todos,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/532.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Patricia,Bullrich,senador,Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/580.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Jorge Milton,Capitanich,senador,Chaco,JUSTICIALISTA,Fuerza Patria,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/285.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
José María,Carambia,senador,Santa Cruz,MOVERE SANTA CRUZ,Alianza Por Santa Cruz,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/567.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Mario Pablo,Cervi,senador,Neuquén,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/586.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Lucía Benigna,Corpacci,senador,Catamarca,JUSTICIALISTA,Frente de Todos,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/398.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Julieta,Corroza,senador,Neuquén,LA NEUQUINIDAD,La Neuquinidad,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/587.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Agustín Pedro,Coto,senador,"Tierra del Fuego, Antártida E Islas del Atlántico Sur",LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/595.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Andrea Marcela,Cristina,senador,Chubut,FRENTE PRO,Juntos Por El Cambio Chubut,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/570.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Eduardo Enrique,De Pedro,senador,Buenos Aires,JUSTICIALISTA,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/545.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Juliana,Di Tullio,senador,Buenos Aires,JUSTICIALISTA,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/517.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Carlos Mauricio,Espínola,senador,Corrientes,PROVINCIAS UNIDAS,Frente Todos,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/461.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Flavio Sergio,Fama,senador,Catamarca,UCR - UNIÓN CÍVICA RADICAL,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/520.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Anabel,Fernández Sagasti,senador,Mendoza,JUSTICIALISTA,Justicialista,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/468.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Enzo Paolo,Fullone,senador,Río Negro,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-26,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/590.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Natalia Elena,Gadano,senador,Santa Cruz,MOVERE SANTA CRUZ,Alianza Por Santa Cruz,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/568.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Eduardo Horacio,Galaretto,senador,Santa Fe,UCR - UNIÓN CÍVICA RADICAL,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/573.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
María Celeste,Giménez Navarro,senador,San Juan,JUSTICIALISTA,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/562.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Juan Cruz,Godoy,senador,Chaco,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/578.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Enrique Martín,Goerling Lara,senador,Misiones,FRENTE PRO,Juntos Por El Cambio,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/560.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
María Teresa Margarita,González,senador,Formosa,JUSTICIALISTA,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/477.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Gonzalo,Guzmán Coraita,senador,Salta,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/592.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
María Victoria,Huala,senador,La Pampa,FRENTE PRO,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/531.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Luis Alfredo,Juez,senador,Córdoba,LA LIBERTAD AVANZA,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/400.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Mariana,Juri,senador,Mendoza,UCR - UNIÓN CÍVICA RADICAL,Frente Cambia Mendoza,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/534.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Alicia Margarita Antonia,Kirchner,senador,Santa Cruz,JUSTICIALISTA,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/366.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Daniel Ricardo,Kroneberger,senador,La Pampa,UCR - UNIÓN CÍVICA RADICAL,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/530.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Marcelo Néstor,Lewandowski,senador,Santa Fe,JUSTICIALISTA,Frente de Todos,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/538.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Carlos Alberto,Linares,senador,Chubut,JUSTICIALISTA,Frente de Todos,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/529.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Cándida Cristina,López,senador,"Tierra del Fuego, Antártida E Islas del Atlántico Sur",JUSTICIALISTA,Alianza Frente de Todos,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/574.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
María Florencia,López,senador,La Rioja,JUSTICIALISTA,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/555.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Carolina,Losada,senador,Santa Fe,UCR - UNIÓN CÍVICA RADICAL,Juntos Por El Cambio,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/536.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Juan Luis,Manzur,senador,Tucumán,JUSTICIALISTA,Alianza Frente de Todos,2023-2029,2023-12-09,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/576.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Ana Inés,Marks,senador,Río Negro,JUSTICIALISTA,Fuerza Patria,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/589.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Nadia Judith,Márquez,senador,Neuquén,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/585.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
José Miguel Ángel,Mayans,senador,Formosa,JUSTICIALISTA,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/294.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Sandra Mariela,Mendoza,senador,Tucumán,CONVICCIÓN FEDERAL,Frente de Todos,2021-2027,2021-12-10,2027-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/540.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
María Carolina,Moises,senador,Jujuy,CONVICCIÓN FEDERAL,Alianza Unión Por la Patria,2023-2029,2023-12-10,2029-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/554.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
María Belén,Monte de Oca,senador,"Tierra del Fuego, Antártida E Islas del Atlántico Sur",LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/596.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
Agustín Aníbal,Monteverde,senador,Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,Alianza la Libertad Avanza,2025-2031,2025-12-10,2031-12-09,https://www.senado.gob.ar/bundles/senadosenadores/images/fsenaG/581.gif,,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,Honorable Senado de la Nacion (datos abiertos oficiales)
