nombre,apellido,cargo,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,foto_url,wikidata_id,fuente_url,fuente_nombre
Sebastián,Nóblega,diputado,Catamarca,ELIJO CATAMARCA,ELIJO CATAMARCA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20303646362_20231130151045000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Javier,Noguera,diputado,Tucuman,INDEPENDENCIA,INDEPENDENCIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20217440743_20251127092235000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
José,Nuñez,diputado,Santa Fe,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20242920644_20200206125307_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Joaquín,Ojeda,diputado,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20358926933_20251126131046000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Kelly,Olmos,diputado,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27104003465_20251211133815000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Blanca Inés,Osuna,diputado,Entre Rios,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27065013253_20200206125406_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Pablo,Outes,diputado,Salta,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/20186082134_20231206151257000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Marcela Marina,Pagano,diputado,Buenos Aires,COHERENCIA,COHERENCIA,2023-2027,2023-12-10,2027-12-09,https://parlamentaria.hcdn.gob.ar/image/27319281628_20231128104503000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Sergio Omar,Palazzo,diputado,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/20160116006_20211202190948000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
Claudia María,Palladino,diputado,Catamarca,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://parlamentaria.hcdn.gob.ar/image/27177269323_20251127141926000_medium.png,,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo)
